Sentencia,Proceso,Expediente Tipo,Expediente NÃºmero,Magistrado(a) ponente,Sentencia Tipo,Fecha Sentencia,Año,SV-SPV,AV-APV
C-995-01,Demanda de inconstitucionalidad,D,3455,Jaime CÃ³rdoba TriviÃ±o,C,9/19/2001 0:00,2001,No,No
C-1047-01,Demanda de inconstitucionalidad,D,3456,Marco Gerardo Monroy Cabra,C,10/4/2001 0:00,2001,No,No
C-1065-01,Demanda de inconstitucionalidad,D,3457,Alfredo BeltrÃ¡n Sierra,C,10/10/2001 0:00,2001,No,No
C-1191-01,Demanda de inconstitucionalidad,D,3460,Rodrigo Uprimny Yepes,C,11/15/2001 0:00,2001,No,No
C-1112-01,Demanda de inconstitucionalidad,D,3461,Alvaro Tafur Galvis,C,10/24/2001 0:00,2001,No,No
C-996-01,Demanda de inconstitucionalidad,D,3464,Alfredo BeltrÃ¡n Sierra,C,9/19/2001 0:00,2001,No,No
C-1173-01,Demanda de inconstitucionalidad,D,3465,Clara InÃ©s Vargas HernÃ¡ndez,C,11/8/2001 0:00,2001,No,No
C-1026-01,Demanda de inconstitucionalidad,D,3468,Eduardo Montealegre Lynett,C,9/26/2001 0:00,2001,No,No
C-1051-01,Demanda de inconstitucionalidad,D,3469,Jaime Araujo RenterÃ­a,C,10/4/2001 0:00,2001,No,No
C-997-01,Demanda de inconstitucionalidad,D,3470,Marco Gerardo Monroy Cabra,C,9/19/2001 0:00,2001,No,No
C-1052-01,Demanda de inconstitucionalidad,D,3472,Manuel JosÃ© Cepeda Espinosa,C,10/4/2001 0:00,2001,No,No
C-1054-01,Demanda de inconstitucionalidad,D,3475,Eduardo Montealegre Lynett,C,10/4/2001 0:00,2001,No,No
C-1192-01,Demanda de inconstitucionalidad,D,3476,Marco Gerardo Monroy Cabra,C,11/15/2001 0:00,2001,No,No
C-1027-01,Demanda de inconstitucionalidad,D,3478,Alvaro Tafur Galvis,C,9/26/2001 0:00,2001,No,No
C-1193-01,Demanda de inconstitucionalidad,D,3479,Manuel JosÃ© Cepeda Espinosa,C,11/15/2001 0:00,2001,No,No
C-1095-01,Demanda de inconstitucionalidad,D,3482,Jaime CÃ³rdoba TriviÃ±o,C,10/17/2001 0:00,2001,No,No
C-1098-01,Demanda de inconstitucionalidad,D,3483,Manuel JosÃ© Cepeda Espinosa,C,10/18/2001 0:00,2001,No,No
C-1067-01,Demanda de inconstitucionalidad,D,3487,Eduardo Montealegre Lynett,C,10/10/2001 0:00,2001,No,No
C-1104-01,Demanda de inconstitucionalidad,D,3488,Clara InÃ©s Vargas HernÃ¡ndez,C,10/24/2001 0:00,2001,No,No
C-1096-01,Demanda de inconstitucionalidad,D,3489,Jaime CÃ³rdoba TriviÃ±o,C,10/16/2001 0:00,2001,No,No
C-1097-01,Demanda de inconstitucionalidad,D,3490,Jaime Araujo RenterÃ­a,C,10/10/2001 0:00,2001,No,No
C-1107-01,Demanda de inconstitucionalidad,D,3493,Jaime Araujo RenterÃ­a,C,10/24/2001 0:00,2001,No,No
C-1144-01,Demanda de inconstitucionalidad,D,3494,Jaime CÃ³rdoba TriviÃ±o,C,10/31/2001 0:00,2001,No,No
C-1115-01,Demanda de inconstitucionalidad,D,3496,Marco Gerardo Monroy Cabra,C,10/24/2001 0:00,2001,No,No
C-1110-01,Demanda de inconstitucionalidad,D,3498,Clara InÃ©s Vargas HernÃ¡ndez,C,10/24/2001 0:00,2001,No,No
C-1105-01,Demanda de inconstitucionalidad,D,3499,Eduardo Montealegre Lynett,C,10/24/2001 0:00,2001,No,No
C-1109-01,Demanda de inconstitucionalidad,D,3500,Jaime CÃ³rdoba TriviÃ±o,C,10/24/2001 0:00,2001,No,No
C-1106-01,Demanda de inconstitucionalidad,D,3502,Eduardo Montealegre Lynett,C,10/24/2001 0:00,2001,No,No
C-1111-01,Demanda de inconstitucionalidad,D,3505,Clara InÃ©s Vargas HernÃ¡ndez,C,10/24/2001 0:00,2001,No,No
C-1108-01,Demanda de inconstitucionalidad,D,3507,Marco Gerardo Monroy Cabra,C,10/24/2001 0:00,2001,No,No
C-1146-01,Demanda de inconstitucionalidad,D,3508,Manuel JosÃ© Cepeda Espinosa,C,10/31/2001 0:00,2001,No,No
C-1143-01,Demanda de inconstitucionalidad,D,3509,Clara InÃ©s Vargas HernÃ¡ndez,C,10/31/2001 0:00,2001,No,No
C-1177-01,Demanda de inconstitucionalidad,D,3511,Alvaro Tafur Galvis,C,11/8/2001 0:00,2001,No,No
C-1194-01,Demanda de inconstitucionalidad,D,3513,Manuel JosÃ© Cepeda Espinosa,C,11/15/2001 0:00,2001,No,No
C-1113-01,Demanda de inconstitucionalidad,D,3515,Marco Gerardo Monroy Cabra,C,10/24/2001 0:00,2001,No,No
C-1114-01,Demanda de inconstitucionalidad,D,3520,Alvaro Tafur Galvis,C,10/24/2001 0:00,2001,No,No
C-1178-01,Demanda de inconstitucionalidad,D,3521,Alvaro Tafur Galvis,C,11/8/2001 0:00,2001,No,No
C-1175-01,Demanda de inconstitucionalidad,D,3526,Manuel JosÃ© Cepeda Espinosa,C,11/8/2001 0:00,2001,No,No
C-1217-01,Demanda de inconstitucionalidad,D,3528,Alvaro Tafur Galvis,C,11/21/2001 0:00,2001,No,No
C-1179-01,Demanda de inconstitucionalidad,D,3530,Jaime CÃ³rdoba TriviÃ±o,C,11/8/2001 0:00,2001,No,No
C-1176-01,Demanda de inconstitucionalidad,D,3531,Marco Gerardo Monroy Cabra,C,11/8/2001 0:00,2001,No,No
C-039-02,Demanda de inconstitucionalidad,D,3535,Manuel JosÃ© Cepeda Espinosa,C,1/30/2002 0:00,2002,No,No
C-1213-01,Demanda de inconstitucionalidad,D,3546,Jaime CÃ³rdoba TriviÃ±o,C,11/21/2001 0:00,2001,No,No
C-1214-01,Demanda de inconstitucionalidad,D,3547,Clara InÃ©s Vargas HernÃ¡ndez,C,11/21/2001 0:00,2001,No,No
C-1253-01,Demanda de inconstitucionalidad,D,3551,Manuel JosÃ© Cepeda Espinosa,C,11/28/2001 0:00,2001,No,No
C-1297-01,Demanda de inconstitucionalidad,D,3559,Clara InÃ©s Vargas HernÃ¡ndez,C,12/6/2001 0:00,2001,No,No
C-1255-01,Demanda de inconstitucionalidad,D,3560,Rodrigo Uprimny Yepes,C,11/28/2001 0:00,2001,No,No
C-1218-01,Demanda de inconstitucionalidad,D,3564,Alvaro Tafur Galvis,C,11/21/2001 0:00,2001,No,No
C-1256-01,Demanda de inconstitucionalidad,D,3565,Rodrigo Uprimny Yepes,C,11/28/2001 0:00,2001,No,No
C-1257-01,Demanda de inconstitucionalidad,D,3567,Jaime CÃ³rdoba TriviÃ±o,C,11/29/2001 0:00,2001,No,No
C-1291-01,Demanda de inconstitucionalidad,D,3572,Marco Gerardo Monroy Cabra,C,12/5/2001 0:00,2001,No,No
C-1259-01,Demanda de inconstitucionalidad,D,3574,Jaime CÃ³rdoba TriviÃ±o,C,11/29/2001 0:00,2001,No,No
C-1174-01,Demanda de inconstitucionalidad,D,3578,Clara InÃ©s Vargas HernÃ¡ndez,C,11/8/2001 0:00,2001,No,No
C-1298-01,Demanda de inconstitucionalidad,D,3580,Clara InÃ©s Vargas HernÃ¡ndez,C,12/6/2001 0:00,2001,No,No
